ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
24264.7,24260.4,1633.4,1633.1,1633.4,1039.5,1039.2,1039.5,6256.9,6256.9,6257.2,1306.8,1307.1,1307.3,3741.7,3741.8,103523.3,103472.7,14105.8,14104.4,14105.5,2541.0,2539.0,2537.9,1231.9,1231.6,1231.7,2149.8,2149.9,2149.8,14349.8,14346.3,20844.3,20843.2,3502.6,3502.7,3503.3,2070.2,2069.3,2069.9,4029.7,4027.8,4028.9,2115.7,2114.9,2115.8,70631.9,70653.1,4612.0,4612.7,1423.3,1422.5,1421.8,3489.1,3488.2,3489.1,1223.7,1223.0,1223.2,1573.1,1572.9,1573.2,4344.9,4344.9,31.43,29.0,Ambient_Air
24264.8,24262.0,1633.7,1633.2,1633.5,1039.5,1039.2,1039.5,6256.4,6255.7,6256.2,1307.3,1307.3,1307.6,3741.0,3741.0,103481.8,103477.6,14112.9,14103.1,14109.8,2540.7,2539.0,2537.5,1231.7,1231.5,1231.6,2150.0,2149.7,2150.5,14343.1,14341.2,20846.6,20843.7,3502.7,3501.9,3501.7,2070.3,2069.3,2069.5,4029.4,4028.2,4027.6,2115.7,2115.4,2115.6,70641.2,70654.4,4612.8,4612.6,1423.3,1421.7,1421.8,3488.1,3488.4,3489.3,1223.8,1222.7,1222.8,1573.1,1572.6,1572.9,4345.1,4343.6,31.4,28.98,Ambient_Air
24261.5,24261.2,1633.8,1633.4,1633.9,1039.2,1038.9,1039.2,6255.5,6254.9,6255.4,1306.9,1306.7,1307.5,3740.8,3740.9,103555.9,103562.9,14107.1,14098.0,14094.3,2540.3,2537.4,2536.9,1231.3,1231.2,1231.2,2149.3,2149.2,2149.4,14343.5,14342.6,20851.4,20847.7,3500.7,3500.6,3500.6,2069.5,2068.8,2069.0,4027.6,4026.3,4025.9,2115.6,2115.1,2115.7,70668.8,70667.4,4612.2,4612.5,1423.0,1421.8,1421.7,3488.6,3488.0,3488.7,1224.2,1223.4,1223.3,1572.7,1572.5,1572.7,4344.1,4344.2,31.389999,28.959999,Ambient_Air
24259.9,24261.2,1633.6,1633.2,1633.4,1039.1,1038.9,1039.0,6254.1,6254.1,6253.8,1306.7,1306.6,1307.4,3740.5,3740.5,103449.4,103519.0,14105.3,14099.3,14093.7,2540.4,2538.0,2536.9,1230.9,1230.9,1230.9,2148.5,2148.1,2148.9,14340.9,14340.4,20840.2,20840.0,3498.7,3499.2,3499.1,2069.6,2069.1,2069.0,4026.6,4025.5,4025.5,2114.7,2114.5,2115.0,70646.8,70682.3,4611.6,4611.7,1422.5,1422.0,1421.8,3486.9,3487.3,3487.4,1223.8,1223.1,1223.3,1573.0,1572.3,1572.3,4343.4,4344.8,31.43,28.98,Ambient_Air
24258.7,24253.8,1632.7,1632.5,1632.4,1038.8,1038.7,1039.0,6252.4,6251.3,6251.6,1306.0,1306.3,1306.8,3740.1,3739.9,103459.3,103502.2,14099.7,14100.3,14096.5,2539.6,2537.7,2536.6,1231.0,1230.8,1231.0,2149.1,2148.9,2148.6,14346.0,14344.0,20835.2,20838.1,3498.3,3497.7,3498.2,2070.6,2069.7,2070.1,4025.6,4025.0,4024.5,2114.4,2114.4,2114.6,70654.5,70642.0,4611.2,4611.8,1422.6,1422.0,1421.9,3486.5,3486.4,3486.7,1223.7,1223.1,1222.9,1572.5,1572.5,1572.4,4344.2,4344.0,31.450001,28.959999,Ambient_Air
24262.2,24257.8,1632.5,1632.1,1632.5,1039.0,1038.7,1039.0,6252.4,6251.8,6252.2,1306.3,1306.3,1306.6,3739.7,3739.6,103431.2,103454.6,14099.5,14093.8,14091.9,2540.0,2537.7,2536.9,1231.1,1230.9,1231.0,2148.8,2149.0,2149.5,14339.1,14340.1,20821.6,20829.2,3499.3,3499.3,3499.3,2070.6,2069.3,2069.6,4026.3,4024.9,4025.5,2114.9,2115.0,2115.4,70672.2,70648.9,4612.1,4611.9,1422.8,1421.5,1421.7,3486.2,3486.3,3487.0,1223.8,1223.1,1223.5,1573.2,1573.3,1573.7,4343.9,4342.9,31.690001,28.98,Ambient_Air
24255.6,24252.9,1632.7,1632.3,1632.5,1039.1,1038.9,1039.0,6252.2,6251.9,6251.4,1306.5,1306.9,1307.2,3739.4,3739.4,103437.3,103448.8,14097.9,14095.0,14091.2,2541.3,2538.9,2537.2,1231.1,1231.0,1231.0,2148.7,2148.2,2149.0,14342.1,14340.1,20844.6,20845.9,3497.8,3497.7,3498.0,2070.1,2069.5,2069.7,4024.5,4023.5,4023.6,2114.6,2114.6,2115.3,70656.8,70652.0,4611.4,4610.4,1422.5,1421.3,1421.5,3486.2,3486.5,3486.9,1223.6,1222.8,1223.0,1573.4,1572.7,1573.4,4341.7,4341.9,31.639999,28.959999,Ambient_Air
24256.1,24253.9,1632.5,1632.1,1632.6,1039.2,1038.9,1039.0,6251.9,6251.2,6251.1,1305.9,1306.3,1307.1,3739.2,3739.1,103522.9,103505.9,14104.7,14099.1,14096.0,2540.7,2538.6,2536.8,1231.2,1231.0,1231.0,2148.9,2148.7,2149.3,14341.4,14336.8,20827.9,20828.6,3499.1,3498.0,3498.2,2070.5,2069.6,2070.0,4024.6,4024.0,4023.6,2115.4,2115.1,2115.6,70625.6,70616.9,4610.4,4610.8,1422.5,1421.9,1421.8,3486.3,3486.5,3486.9,1223.6,1223.1,1223.0,1572.3,1571.8,1573.0,4343.9,4342.6,31.67,28.98,Ambient_Air
24254.7,24255.7,1632.5,1631.8,1632.0,1038.9,1038.9,1039.0,6251.3,6250.3,6250.4,1306.3,1306.7,1306.9,3738.9,3739.1,103431.8,103437.7,14087.7,14085.4,14087.1,2540.3,2538.4,2537.3,1231.0,1230.9,1230.8,2147.9,2148.3,2148.5,14335.3,14337.1,20842.5,20844.7,3499.1,3498.4,3498.9,2070.4,2069.8,2070.0,4025.3,4024.7,4024.8,2115.8,2115.6,2115.9,70666.2,70638.0,4609.9,4610.2,1422.3,1421.3,1421.2,3485.3,3485.1,3486.0,1223.6,1222.7,1223.0,1572.9,1572.5,1572.9,4341.7,4340.7,31.629999,28.950001,Ambient_Air
24250.0,24253.6,1632.5,1632.0,1631.7,1038.9,1038.7,1039.1,6249.8,6249.5,6249.7,1306.4,1306.4,1307.0,3738.6,3738.9,103453.0,103411.5,14103.2,14095.8,14090.6,2539.9,2537.5,2536.4,1230.8,1230.7,1230.8,2148.4,2147.9,2148.5,14333.8,14332.7,20831.2,20827.6,3497.2,3496.7,3497.8,2070.4,2069.5,2069.5,4024.5,4023.7,4023.7,2115.0,2114.7,2115.4,70621.4,70627.1,4609.4,4608.7,1422.5,1421.1,1421.4,3484.1,3484.6,3485.1,1223.4,1223.1,1222.7,1572.7,1572.2,1572.5,4342.0,4340.6,31.6,28.98,Ambient_Air
